district	huyện
rate	tỷ lệ
iight	ánh sáng
foam	bọt
news	tin tức
wont	sẽ không
thoughtful	chu đáo
beofe	trước
banquit	yến tiệc
equipment	trang thiết bị
sideroad	lề đường
pod	vỏ quả
masterstroke	cột buồm
hills	đồi núi
oreint	định hướng
santa	ông già noel
pedestrian	người đi bộ
acacia	cây keo
hideaways	nơi ẩn náu
addon	thêm vào
distub	làm phiền
dthoai	điện thoại
nonchalant	hờ hững
welcomerink	chào mừng
majestic	hùng vĩ
bluebell	chuông xanh
scams	lừa đảo
vinearl	cây nho
brekfast	bữa sáng
lesson	bài học
agood	tốt
keep	giữ
escapes	chạy trốn
especcialy	đặc biệt
reply	đáp lại
relationship	mối quan hệ
sanitair	nhà vệ sinh
confirmation	xác nhận
trash	rác
infact	trong thực tế
cub	đàn con
oakwood	gỗ sồi
personell	nhân viên
perssonnel	nhân viên
machine	máy móc
hostels	ký túc xá
propper	thợ săn
ecean	đại dương
changes	thay đổi
couldnt	không thể
duyen	duyên
ede	ê đê
strees	nhấn mạnh
shearing	cắt xén
voidable	vô hiệu
weasal	chồn
impressed	ấn tượng
feast	tiệc
kieu	kiều
satisfied	hài lòng
fabulious	tuyệt vời
bamboo	cây tre
appreciation	sự đánh giá
fisrt	đầu tiên
directeur	người trực tiếp
know	biết rôi
heloful	hữu ích
almost	hầu hết
receptionists	lễ tân
pork	thịt heo
ferris	đu quay
warmth	sự ấm áp
phu	phú
breifs	tóm tắt
penthouse	căn hộ áp mái
frontside	mặt trước
lantarns	đèn lồng
servic	dịch vụ
restaurants	các nhà hàng
met	gặp
karma	nghiệp
managed	quản lý
cricket	bóng chày
conditional	có điều kiện
following	tiếp theo
jantle	đùa giỡn
tgeir	của chúng
considering	đang cân nhắc
lobster	tôm
bare	trần
freebies	tiền thưởng
mistakes	những sai lầm
caption	chú thích
thnks	cảm ơn
cheep	chim kêu
soccer	bóng đá
dinning	ăn tối
stairwell	cầu thang
filght	chuyến bay
vibes	rung cảm
unenthusiastic	không nhiệt tình
stranger	người cướp
stick	gậy
finish	hoàn thành
canyouning	đường hầm
corredor	thợ sửa xe
mugs	cốc
convenient	tiện lợi
welldone	làm tốt
againi	một lần nữa tôi
absolute	tuyệt đối
ethusiasim	hăng hái
pavilion	gian hàng
care	quan tâm
knowledgeable	có kiến ​​thức
hotspring	suối nóng
roomservice	dịch vụ phòng
aquafeed	thức ăn thủy sản
chekin	đăng ký vào
drivers	trình điều khiển
befind	tìm kiếm
june	tháng sáu
hero	anh hùng
breskfast	bữa ăn sáng
stanards	tiêu chuẩn
doule	lừa đảo
track	theo dõi
bigman	người đàn ông to lớn
gorgeously	lộng lẫy
middle	ở giữa
baquettes	bánh mì baguette
icecold	đá lạnh
loving	thương
sera	huyết thanh
que	xếp hàng
map	bản đồ
tkanks	cảm ơn
paddy	thóc
looked	đã nhìn
russiana	tiếng nga
dollar	đô la
wood	gỗ
story	câu chuyện
revirew	ôn tập
bitexco	cắnxco
chillbox	thùng lạnh
treatment	sự đối xử
nextdoor	cánh cửa tiếp theo
done	làm xong
reprieve	ân hận
dormy	ngủ đông
excilent	đặc biệt
trips	chuyến đi
durty	bẩn thỉu
temple	ngôi đền
laudry	giặt ủi
upselling	lên bán
sucessfull	thành công
travellimg	đi du lịch
shampoo	dầu gội đầu
chinatown	khu phố tàu
way	đường
relaxing	thư giãn
hilarious	vui nhộn
actualy	thực tế
sealink	con dấu
descibe	diễn tả
inconvinience	sự bất tiện
lock	khóa
towards	hướng tới
rats	chuột cống
hyped	hóa
unit	đơn vị
gate	cánh cổng
anonimous	vô danh
led	dẫn đầu
order	đặt hàng
prefabricados	nhà tiền chế
waterline	dòng nước
exceptional	đặc biệt
hem	viền
falcility	sự giả dối
without	không có
tuong	tường
buffalo	trâu
lookwise	nhìn kỹ
strawhat	mũ rơm
exciting	thú vị
terrace	sân thượng
ideal	lý tưởng
computer	máy vi tính
conf	tâm sự
upsell	bán lại
resot	tiếng vang
pet	vật nuôi
ivy	cây thường xuân
opertunity	dịp tốt
pasta	mỳ ống
compact	gọn nhẹ
english	tiếng anh
hop	nhảy lò cò
title	tiêu đề
pasword	mật khẩu
disovery	khám phá
drivers	tài xế
baby	đứa bé
rides	cưỡi ngựa
cottages	trang trại
stoipped	bị đánh cắp
pumpkin	quả bí ngô
languange	ngôn ngữ
woo	gâu gâu
freey	chiếc phà
roof	mái nhà
seagull	hải âu
springrolls	chả giò
vacances	kỳ nghỉ
include	bao gồm
relaxed	thư thái
rosemarry	cây mê điệt
citypoint	điểm thành phố
pingpong	bóng bàn
prince	hoàng tử
spoiler	làm hư hỏng
loa	ổ bánh mì
seminar	hội thảo
purpose	mục đích
fue	chết tiệt
reallly	có thật không
friedly	chiên
worlde	lo lắng
polite	lịch sự
cap	mũ lưỡi trai
rep	đại diện
wed	thứ tư
standar	độc lập
favorite	yêu thích
couple	cặp đôi
sandwitch	bánh mì kẹp
clea	chẻ đôi
fortune	vận may
terra	ruộng bậc thang
funfact	sự thật thú vị
habitaciones	thói quen
calm	điềm tĩnh
hustle	hối hả
from	từ
unacceptable	không thể chấp nhận được
jet	máy bay phản lực
anniversary	ngày kỷ niệm
sont	không
stile	cứng nhắc
migra	di cư
condo	căn hộ
butffet	tiệc đứng
personnel	nhân viên
roofbar	thanh mái
recommendso	giới thiệu
helpfulbuffet	hữu ích
cleaned	làm sạch
dingy	bẩn thỉu
numberone	số một
one	một
rooptop	sân thượng
wanted	muốn
reosrt	phương sách
especial	đặc biệt
bawdyhouse	nhà bawdyhouse
niggle	cười đùa
start	khởi đầu
masseur	người xoa bóp
body	thân hình
there	đó
fovourite	yêu thích
date	ngày
landmarket	thị trường nhà đất
hostle	nhà trọ
hamburger	bánh hamburger
befast	nhanh lên
his	của anh ấy
employee	nhân viên
prace	lời chúc tụng
bouns	giới hạn
duty	nhiệm vụ
plase	làm ơn
although	mặc du
bunaglow	nhà gỗ
event	biến cố
bittet	đắng
reaction	phản ứng
beside	bên cạnh
somethings	một số điều
horrified	đã xác nhận
what	gì
introduce	giới thiệu
gas	khí ga
nicely	độc đáo
damp	ẩm ướt
chagre	sạc điện
records	hồ sơ
chili	ớt
expressthanks	bày tỏ sự cảm ơn
exentent	hiện tại
brandy	rượu mạnh
overal	nói quá
theives	kẻ trộm
redoing	làm lại
world	thế giới
members	các thành viên
vinosis	vi chứng
artisan	nghệ nhân
opption	sự chống đối
coathangers	áo choàng
package	gói hàng
coworking	làm việc chung
net	mạng lưới
choices	sự lựa chọn
tirant	bậc thang
guyssss	thằng khốn
their	của chúng
thief	tên trộm
jun	tháng sáu
led	đèn led
missall	bỏ lỡ tất cả
serenaded	theo dõi
quarte	cãi nhau
crowning	vương miện
bag	túi
swim	bơi
minifridge	tủ lạnh nhỏ
threeday	ba ngày
enthusiam	hăng hái
motorcycles	xe máy
bistro	quán rượu
quac	quắc
lifeguard	nhân viên cứu hộ
memories	kỉ niệm
scammer	kẻ lừa đảo
tue	thứ ba
chiang	tưởng
bedlinen	khăn trải giường
works	làm
impersonal	nhân cách
helpfully	hữu ích
adjacebt	liền kề
adiacent	liền kề
copycats	bắt chước
cheerful	vui lòng
fourth	thứ tư
marvrllous	kỳ diệu
hitea	xin chào trà
upper	phía trên
moved	đã di chuyển
minuses	số phút
warmth	ấm áp
aroma	mùi thơm
awaful	kinh khủng
pick	hái
raintime	thời gian raintime
drap	khăn trải giường
wall	tường
corny	xưa
cell	ô
korea	hàn quốc
riceflower	hoa gạo
hazardous	nguy hiểm
lea	đồng cỏ
walk	đi bộ
saparate	tách rời
surfingwinds	lướt sóng
marvelous	kỳ diệu
teiple	gấp ba
ampenities	quần thể
conect	hình nón
dreamers	những người mơ mộng
arbitrarily	tùy tiện
next	kế tiếp
lugggae	hành lý
reservation	dự phòng
prepping	sơ chế
owners	những chủ sở hữu
resident	cư dân
duluxe	sang trọng
mister	quí ông
ears	đôi tai
lane	làn đường
cosmopolitan	khắp thế giới
pop	bật ra
chain	chuỗi
especially	đặc biệt
quanhtuy	quánh
designing	thiết kế
unpack	giải nén
minor	diễn viên phụ
serenity	thanh thản
sepia	màu nâu đỏ
exuses	lời bào chữa
lien	quyền cầm giữ
surrounded	được bao quanh
drinks	đồ uống
direct	thẳng thắn
visited	đã đến thăm
terms	điều kiện
issue	vấn đề
moody	buồn rầu
trees	cây
fday	thứ hai
newway	cách mới
staps	đinh ghim
meesting	yêu cầu
cancel	hủy
punctuality	đúng giờ
grace	ân huệ
khau	khẩu
list	danh sách
sigarette	thuốc lá
strong	mạnh
vietnamese	tiếng việt
xao	xao xuyến
aviod	tránh
electric	điện
tatto	hình xăm
vin	sơ vin
planner	người lập kế hoạch
englisheverything	tiếng anh
exercise	tập thể dục
rudest	thô lỗ
seahose	cá ngựa
buidling	xây dựng
them	chúng
site	địa điểm
special	đặc biệt
lluggage	hành lý
legend	huyền thoại
when	khi nào
hanging	treo cổ
crash	tai nạn
puking	nôn mửa
claimed	tuyên bố
arent	không
houskeeping	dọn phòng
bags	túi
smothie	sinh tố
accidently	tình cờ
horror	kinh dị
highchairs	ghế cao
scammed	bị lừa đảo
allowed	được phép
progressive	cấp tiến
every	mỗi
serviec	dịch vụ
bussy	bận rộn
milkyway	dải ngân hà
kingdom	vương quốc
maneger	người điều khiển
conifer	hạt trần
blaring	bùng nổ
condicioned	có điều kiện
upgrage	nâng cấp
kiwi	quả kiwi
residencia	cư xá
exigences	sự xuất hiện
diamond	kim cương
reason	lý do
bellhop	cửa hàng chuông
teambuiding	xây dựng đội ngũ
month	tháng
arigant	kiêu ngạo
chekout	thủ tục thanh toán
recommand	lời nhắc nhở
freaking	quái đản
grend	màu xám
budget	ngân sách
doorgil	khung cửa
instructions	hướng dẫn
whew	tiếng kêu
scamming	lừa đảo
happys	hạnh phúc
clases	hợp lại
beepub	bíp bíp
ultimate	tối thượng
casino	sòng bạc
funemployment	thiếu việc làm
assign	chỉ định
holidaymoon	kỳ nghỉ
disputable	không thể tranh cãi
toilletries	đồ vệ sinh cá nhân
green	màu xanh lá
made	thực hiện
bourbon	rượu whisky ngô
washlet	nhà vệ sinh
area	khu vực
ghen	ghen tị
upthere	trên đó
ham	giăm bông
ancent	đi lên
villages	làng
nomadder	nôm na
canyoneering	người đóng hộp
beatiful	đẹp
nontheless	dù sao thì
calculate	tính toán
been	đã
squid	mực ống
nostalgia	hoài cổ
grotty	sự thô lỗ
hideaway	ẩn đi
hii	xin chào
recoment	giới thiệu
ha	hà
smacked	đánh lén
whils	đánh trống lảng
breakfirst	đột phá
unavailable	không có sẵn
proffesional	chuyên nghiệp
helfull	hữu ích
leave	rời khỏi
warning	cảnh báo
complained	phàn nàn
overalla	quần yếm
firefly	con đom đóm
primer	lót
crepes	bánh crếp
biffet	tiệc đứng
combo	kết hợp
group	nhóm
xuan	xuân
par	ngang bằng
luxery	xa xỉ
collor	người cắt dán
tropic	chí tuyến
overcharged	quá mức
ice	nước đá
enegergy	năng lượng
smothies	bánh kẹo
establishment	thành lập
goood	tốt
ngo	ngô
oceam	đại dương
tradeoff	sự đánh đổi
ecellent	thông minh
upon	trên
increasing	tăng
tailor	thợ may
resrost	nối lại
cleadly	khôn ngoan
honk	bấm còi
singing	ca hát
nite	đêm
yup	vâng
cuteeee	dễ thương
shorting	rút ngắn
repeated	lặp đi lặp lại
matsa	thảma
reccommended	đề nghị
sinserely	trân trọng
dodgey	né tránh
nightcap	mũ ngủ
amazimg	kinh ngạc
fake	giả mạo
bufffet	tiệc đứng
plat	tấm ván
templing	cám dỗ
reception	lễ tân
us	chúng ta
comfotable	thoải mái
sleep	ngủ
plasters	trát tường
uppet	đoạn mã
beakfast	bữa sáng
enthusiasm	hăng hái
whynot	tại sao không
reataurant	nhà hàng
beachfront	bờ biển
lead	chì
mouth	mồm
enjoyed	rất thích
afraid	sợ
looker	người nhìn
friendlybut	thân thiện nhưng
race	cuộc đua
getaroom	nhận phòng
dedicated	chuyên dụng
experiance	kinh nghiệm
cristmas	giáng sinh
copped	che đậy
thannks	cảm ơn
branch	chi nhánh
olive	ôliu
disspointed	thất vọng
everuthing	mọi điều
goatmeat	thịt dê
haapy	vui mừng
culinar	người nói chuyện
suspendre	dây treo
graffiti	vẽ tranh lên tường
freeeee	miễn phí
cham	chăm
downstair	tầng dưới
ecologic	sinh thái học
pankcakes	bánh xèo
aug	tháng 8
give	đưa cho
boardwalk	lối đi lát ván
child	đứa trẻ
fro	sương giá
detailed	chi tiết
killing	giết
regional	khu vực
containing	chứa đựng
recidence	nơi cư trú
appartment	căn hộ
abysmal	vực thẳm
alothough	mặc du
starcity	sự khan hiếm
transport	vận chuyển
brige	bờ vực
recomendation	sự giới thiệu
suitable	thích hợp
nhut	nhựt
freezer	tủ đông
denmark	đan mạch
lame	què
salvation	sự cứu rỗi
vientiane	viêng chăn
allure	quyến rũ
salon	thẩm mỹ viện
dont	không
notch	khía
gob	ngấu nghiến
lheritage	di sản
option	lựa chọn
excellemt	thông minh
despues	khinh thường
seashore	bờ biển
christian	cơ đốc giáo
fruite	trái cây
dormbeds	giường ngủ tập thể
beyobd	vượt ra ngoài
ricewine	rượu gạo
select	lựa chọn
trong	trọng
loads	tải
plan	kế hoạch
ditto	như trên
comfy	thoải mái
signposted	biển chỉ dẫn
sweethouse	căn nhà dễ thương
doorhandle	tay nắm cửa
hibiscus	dâm bụt
banana	trái chuối
cahoots	móc ngoặc
disapponting	khai thác
sunchair	ghế tắm nắng
pefect	hoàn hảo
positifs	dương tính
toaster	máy nướng bánh mì
reastaurants	nhà hàng
lao	lào
expencive	khai khẩn
reed	cây lau
risemount	tăng lên
matday	ngày tháng năm
bathroon	phòng tắm
cantho	cần thơ
beatiful	đẹp đẽ
girls	các cô gái
rati	tỷ lệ
gap	lỗ hổng
refill	đổ đầy
came	đã đến
paying	trả tiền
blessing	ban phước
beautyful	đẹp đẽ
smiling	mỉm cười
cheeper	chim kêu
days	ngày
chillax	làm lạnh
rot	thúi
smelly	hôi
upgrade	nâng cấp
hai	hải
once	một lần
turndown	giảm xuống
hosstes	bà chủ
glanced	liếc
theme	chủ đề
recommented	đề nghị
now	hiện nay
finest	tốt nhất
assistant	phụ tá
easier	dễ dàng hơn
triple	gấp ba
pitch	sân cỏ
paramount	tối quan trọng
lactose	đường lactose
investigates	điều tra
ten	mười
extrabed	giường phụ
complete	hoàn thành
between	giữa
reviews	đánh giá
expecially	đặc biệt
leg	chân
locations	địa điểm
smoking	hút thuốc
batter	bột nhồi
finally	cuối cùng
nightthe	ban đêm
dirtiness	bẩn thỉu
hil	xin chào, tôi
rottening	thối rữa
close	đóng
affordable	giá cả phải chăng
exped	thám hiểm
friendlytake	thân thiện
nigth	đêm
aud	thử giọng
essence	bản chất
dam	đập
allows	cho phép
certainty	chắc chắn
voyage	hành trình
hotpot	lẩu
beautifully	đẹp đẽ
daytrippers	ngày của người du ngoạn
beachhouse	nhà ở bờ biển
foods	thức ăn
veitnam	việt nam
underdtand	hiểu biết
showing	hiển thị
ido	tôi làm
fiore	tốt
greenery	cây xanh
vitenamise	tiếng việt
devine	nuốt chửng
escape	bỏ trốn
beutiful	đẹp
them	họ
modernization	hiện đại hóa
booked	đã đặt trước
breaklfast	bữa ăn sáng
platfrorm	nền tảng
bath	bồn tắm
discover	khám phá
mosquito	con muỗi
suttle	kinh sư
appreciable	đáng trân trọng
tran	trần
microphone	cái mic cờ rô
culture	văn hóa
badge	huy hiệu
initially	ban đầu
conference	hội nghị
homesta	nhà trọa
restarunt	nhà hàng
being	hiện hữu
queensize	cỡ lớn
kangaroo	con chuột túi
realized	nhận ra
avaible	có sẵn
brandlaureate	nhãn hiệu
intercontinal	xuyên lục địa
overprized	quá nhiều
goup	đi lên
forniture	đồ đạc
nooddle	bún
hometsay	ở nhà người bản xứ
decently	đoan trang
private	riêng tư
contras	trái ngược
elavator	thang máy
drikke	nhỏ giọt
insideview	quang cảnh bên trong
aircon	máy bay
havea	có một
lieu	thay vì
spring	mùa xuân
homestyle	kiểu nhà
jaccuzzi	bể sục
failed	thất bại
overnigth	qua đêm
tilasin	cá rô phi
layout	bố trí
fwd	dâm đãng
goal	mục tiêu
hooting	nâng đỡ
twins	sinh đôi
shape	hình dạng
confortably	thoải mái
charging	sạc
professionnalisme	nghề nghiệp
ve	đã
strip	dải
bungallow	nhà gỗ
vein	tĩnh mạch
earsy	có tai
gopro	đi pro
chit	chít
army	quân đội
raining	mưa
exhausted	kiệt sức
fount	đài phun nước
vietnames	tiếng việt
halong	dài
libra	thiên bình
pricier	đắt hơn
choicing	sự lựa chọn
camon	cảm ơn
vali	dũng cảm
satyed	đã ở lại
dress	trang phục
disappointing	thất vọng
sniff	bị nghẹt mũi
keyless	không chìa khóa
conditioning	điều hòa
feedback	phản hồi
markdown	đánh dấu
ill	tôi sẽ
perk	thù lao thêm
seedy	có nhiều hạt
amenite	đá thạch anh
cash	tiền mặt
extra	thêm
antidote	thuốc giải độc
end	kết thúc
unoccupied	không có người ở
monkey	con khỉ
iris	mống mắt
trusting	tin tưởng
bangkokian	người bangkok
starfruit	trái khế
corona	hào quang
roomsbeachpool	phòng tắm
jaunt	đi chơi
damn	chỉ trích
toast	bánh mì nướng
eaxample	thí dụ
catheral	ống thông
impressions	số lần hiển thị
scandinavi	bán đảo scandinavia
birdhouse	chuồng chim
lagoon	đầm phá
residences	khu dân cư
veri	xác minh
lake	hồ nước
resorts	khu nghỉ dưỡng
ratng	xếp hạng
awkward	khó xử
discorvery	khám phá
snug	ấm áp
else	khác
overpriced	quá đắt
defonitely	chắc chắn
worlcup	cúp thế giới
varied	đa dạng
doreamon	đôrêmon
beef	thịt bò
cat	con mèo
roomgreat	phòng lớn
greenaway	cây xanh
cocacola	cô-ca cô-la
tap	gõ nhẹ
sunset	hoàng hôn
toll	thu phí
happys	xảy ra
xoan	cây xoan
sac	túi
sentir	lính gác
entrace	cuốn theo
lie	nói dối
smelt	thơm
lab	phòng thí nghiệm
dean	trưởng khoa
indigo	xanh đậm
reading	đọc hiểu
pain	đau đớn
tips	lời khuyên
whit	ý thích
housekeep	quản gia
mtr	triệu
shell	vỏ sò
stuff	đồ đạc
juice	nước ép
jacky	chó rừng
springs	lò xo
landscapes	phong cảnh
person	người
particulares	chi tiết
thon	thon gọn
bancony	ban công
sank	chìm
compfortable	thoải mái
laureate	người đoạt giải
cothe	có thể
university	trường đại học
raving	say sưa
whenever	bất cứ khi nào
albiet	mặc dù
clay	đất sét
caps	mũ lưỡi trai
patio	sân trong
desetved	được yêu thích
steal	lấy trộm
byes	tạm biệt
sunday	chủ nhật
ptoperty	bất động sản
silent	im lặng
sheet	tấm
got	có
euthusiastic	nhiệt tâm
boys	những cậu bé
pasports	hộ chiếu
mediocre	tầm thường
homey	ấm cúng
incheck	trong kiểm tra
snorkelling	lặn với ống thở
chin	cái cằm
resport	hô hấp
uncomfortable	khó chịu
radio	đài
quieres	run rẩy
incl	bao gồm
tou	bạn
watch	đồng hồ đeo tay
roomie	phòng trọ
delightful	thú vị
pohled	phập phồng
busy	bận
veey	rất
urhome	nhà của em
ngai	ngãi
informacion	thông tin
let	để cho
familia	quen thuộc
overpriced	định giá quá cao
cobran	rắn hổ mang
puppies	bố cục
goodbye	tạm biệt
slice	lát
beverage	đồ uống
fisher	người câu cá
refshuffled	nhồi lại
ricefield	ruộng lúa
alleyway	ngõ
strange	kỳ lạ
rarely	ít khi
hovever	tuy nhiên
rooming	phòng trọ
crawl	thu thập thông tin
another	khác
lash	dây da roi
ant	con kiến
carey	cẩn thận
crown	vương miện
tuibg	kéo mạnh
bedside	phòng ngủ
lords	lãnh chúa
moneys	tiền
piizzas	bánh pizza
hotelfriendly	thân thiện
pickup	nhặt lên
brecky	rượu bia
bush	cây bụi
profesionnal	chuyên nghiệp
simply	đơn giản
tidied	ngăn nắp
tuesday	thứ ba
dealtoday	xử lý ngày hôm nay
fengshui	phong thủy
passion	niềm đam mê
laurel	nguyệt quế
hamlet	ấp
ware	đồ
actually	thực ra
sanctuary	thánh địa
aweful	kinh hoàng
jesus	chúa giê-xu
april	tháng tư
orat	hoặc tại
cousy	anh em họ
thieu	thiệu
mutiple	bội số
helfpul	hữu ích
giantuyet	người khổng lồ
cog	răng cưa
roses	hoa hồng
bedbugs	giường ngủ
espresso	cà phê espresso
ngan	ngân
frig	gàn
yam	mứt
seastar	sao biển
sauna	tắm hơi
cuc	cúc
cherish	trân trọng
faulty	bị lỗi
change	thay đổi
stinks	liên kết
mountan	núi
termina	chấm dứt
scootering	loang lổ
comfertble	thoải mái
straight	thẳng
voucher	chứng từ
fritters	khoai tây chiên
hau	hậu
flop	thất bại
dishing	món ăn
dusted	phủi bụi
claim	yêu cầu
snorkel	ống thở
barisra	thợ pha cà phê
notre	dấu vết
salt	muối
fruut	trái cây
sport	thể thao
doenst	không
bazaar	chợ
offered	cung cấp
down	xuống
mytv	tv của tôi
risemount	số tiền rủi ro
sunline	dải nắng
humble	khiêm tốn
takes	nhận
tourist	du lịch
unbelievably	không tin
engish	tiếng anh
deathtrap	cái chết
lonely	cô đơn
seafront	bờ biển
junior	trẻ em
inconveneicne	sự bất tiện
girl	con gái
japan	nhật bản
cons	nhược điểm
buddha	đức phật
bearable	có thể chịu được
somtime	thỉnh thoảng
passionfruit	chanh dây
chic	sang trọng
biketour	chuyến đi bằng xe đạp
refrigerator	tủ lạnh
history	lịch sử
stark	ngay đơ
thro	xuyên qua
alo	a lô
fail	thất bại
especillay	đặc biệt
moove	di chuyển
atosphere	không khí
health	sức khỏe
snail	ốc sên
spent	bỏ ra
training	đào tạo
vietnameese	tiếng việt
acces	truy cập
distubed	bị làm phiền
neon	đèn neon
ambience	môi trường xung quanh
niceee	tốt đẹp
skewers	xiên que
pearl	ngọc trai
tattoo	xăm hình
myth	thần thoại
bookingservice	dịch vụ đặt chỗ
neighboor	hàng xóm
hillside	sườn đồi
martket	thị trường
tap	nhấn vào
higland	cao nguyên
insist	năn nỉ
board	bảng
hoisin	nước tương đen
atrium	tâm nhĩ
unplesaent	không tiết kiệm
foodie	người ăn uống
kings	các vị vua
beacg	bờ biển
chopsticks	đũa
pullup	kéo lên
pullman	người kéo
infinitive	nguyên mẫu
basic	căn bản
minusside	điểm trừ
royality	hoàng gia
idyll	cảnh đồng quê
any	bất kì
peeps	nhìn trộm
correos	tương quan
dreaming	đang mơ
marigold	cúc vạn thọ
keycard	thẻ chìa khóa
agrafirt	váy ngắn
barista	thợ pha cà phê
sense	giác quan
hustling	hối hả
romms	lãng mạn
thin	gầy
gardens	vườn
jeans	quần jean
massge	mát xa
moonrise	mặt trăng
zin	đồ zin
flame	ngọn lửa
merit	n: xứng đáng
evason	bao giờ
adamant	cương quyết
tra	trà
fragrance	mùi thơm
our	của chúng tôi
herb	thảo mộc
mood	tâm trạng
skylounge	phòng chờ bay
dest	đích
blare	chói lọi
newish	mới mẻ
paracel	hoàng sa
definetley	chắc chắn
seashells	vỏ sò
own	sở hữu
manger	máng cỏ
corse	thô
enjo	ra lệnh
ocidental	tình cờ
minus	dấu trừ
tiet	tiết
soft	mềm mại
months	tháng
rew	phần thưởng
micro	vi mô
pianist	nghệ sĩ piano
ropey	dây thừng
cliff	khách hàng
tranquility	yên bình
pitty	hầm hố
west	hướng tây
footbath	bồn rửa chân
alright	ổn thỏa
restyling	nghỉ ngơi
kettle	ấm đun nước
perfecly	hoàn hảo
soonest	sớm nhất
transit	quá cảnh
emotion	cảm xúc
thua	thừa
ueen	thiếu niên
bliss	phúc lạc
poem	bài thơ
disclaimer	khước từ
nghe	nghệ
stop	dừng lại
lighttube	ống đèn
fire	ngọn lửa
canceling	hủy bỏ
hotes	nhiều khách sạn
hotle	khách sạn
transprt	vận chuyển
accoustic	âm thanh
persona	cá tính
smack	đập
sniper	kẻ bắn tỉa
womans	phụ nữ
suburban	ngoại ô
aficionado	người cuồng nhiệt
gro	trưởng thành
croplife	cây trồng
typhoon	bão nhiệt đới
quyen	quyên
cocoon	cái kén
horizn	chân trời
archer	người bắn cung
avos	trái bơ
cofffee	cà phê
oustanding	nổi bật
minute	phút
setvice	dịch vụ
yes	đúng
apartemnts	chung cư
addition	thêm vào
pubes	quán rượu
lum	tùm lum
hao	hảo
reastaurnt	nhà hàng
totally	tổng cộng
key	chìa khóa
accomadation	chỗ ở
pisatchio	hạt dẻ cười
townhouse	nhà phố
something	ngươi
travelbox	hộp du lịch
resrt	phương sách
janky	vui vẻ
thung	thung lũng
firework	pháo hoa
agency	đại lý
ticks	tích tắc
check	kiểm tra
thubg	côn đồ
proactively	chủ động
breaktfast	bữa ăn sáng
tourguide	hướng dẫn viên du lịch
late	muộn
convenience	tiện
caveat	cảnh báo trước
four	bốn
angle	góc
message	thông điệp
tukish	thổ nhĩ kỳ
girls	con gái
trust	lòng tin
dusty	bụi bặm
corral	chuồng ngựa
teatching	giảng bài
duey	đến hạn
echoing	tiếng vang
coocked	nấu chín
deposit	tiền gửi
anemities	tiện nghi
field	cánh đồng
superseeds	hạt siêu
kiting	ăn thịt
oceanview	đại dương
returning	trở về
threw	ném
friensdly	phù phiếm
translated	đã dịch
pines	cây thông
delta	đồng bằng
bikerental	cho thuê xe đạp
reset	cài lại
click	nhấp chuột
breakfadt	bữa ăn sáng
jesus	chúa giêsu
boat	thuyền
thot	thốt nốt
took	lấy
resrurant	nhà hàng
taximeter	máy đo thuế
locatiom	vị trí
jetstar	sao phản lực
breakkfast	bữa ăn sáng
silence	im lặng
wowed	kinh ngạc
riverwalk	đường ven sông
mopeds	xe gắn máy
goodluck	chúc may mắn
enouh	đủ
better	tốt hơn
bicyle	xe đạp
chose	đã chọn
atmosphere	không khí
helpfull	hữu ích
self	bản thân
airway	khí đạo
ingredients	thành phần
frienldy	thân thiện
opportunity	dịp tốt
horrifying	chăm sóc
help	cứu giúp
fridge	tủ lạnh
restos	nghỉ ngơi
sunland	vùng đất mặt trời
rough	thô
soldier	lính
cooker	nồi cơm điện
snuck	lẻn
chiselling	đục đẽo
graduation	tốt nghiệp
steambath	tắm hơi
memority	thâm niên
work	công việc
hallo	ê
connected	kết nối
more	hơn
wild	hoang dã
beautifull	đẹp
mustgo	phải đi
windbell	chuông gió
khao	khao khát
faces	những khuôn mặt
badger	lửng
member	thành viên
restaurants	nhà hàng
plowman	thợ cày
penny	đồng xu
mopds	cây lau nhà
moonlight	ánh trăng
fascility	cơ sở
tricks	thủ thuật
crappy	thèm thuồng
chillin	làm lạnh
satissfied	hài lòng
willve	cây liễu
ketchup	sốt cà chua
lent	cho mượn
honeymoontrip	chuyến đi tuần trăng mật
selfies	ảnh tự chụp
december	tháng mười hai
port	hải cảng
eveyday	hằng ngày
portly	đẹp đẽ
soup	súp
bycicle	xe đạp
facillites	cơ sở vật chất
thers	của họ
supernice	tuyệt đẹp
don	đừng
supervior	người giám sát
id	tôi
tele	điện báo
cue	gợi ý
bidaboard	bảng đấu thầu
sencerity	sự chân thành
surly	đột ngột
minutes	phút
desaster	sa mạc
xoai	xoài
holyday	ngày thánh
second	thứ hai
open	mở
areas	khu vực
band	ban nhạc
swimingpool	hồ bơi
lazy	lười biếng
soso	tam tạm
screeches	tiếng rít
mixologist	người pha trộn
flip	lật
scarrings	vết sẹo
packeges	gói hàng
activities	hoạt động
downside	nhược điểm
somewhen	lúc nào đó
definatley	chắc chắn
tshirt	áo thun
fav	yêu thích
cutlery	dao kéo
recastion	tuyển dụng
vani	biến mất
abbey	tu viện
avalible	có sẵn
hongkong	hồng kông
ceramics	gốm sứ
truc	trúc
stints	tiền lương
becareful	hãy cẩn thận
bsthroom	phòng tắm
hour	giờ
riser	ống đứng
gelish	hơi sệt
drjnk	uống
those	những, cái đó
dog	chó
timh	thời gian
shenanigans	tai quái
traveled	đi du lịch
